城镇ID,城镇名称,城镇高度,城镇宽度,城镇描述,城镇图标ID,城镇显示等级,城镇类型,迁入条件,出生点坐标X上限,出生点坐标Y上限,出生点坐标X下限,出生点坐标Y下限,关联港口组,对应副本选择表ID,击败某部队ID可显示,接受某任务ID可迁入,人物等级到达多少可迁入,是否需要选择阵营,全阵营迁入默认港口,阵营1迁入默认港口,阵营2迁入默认港口,阵营3迁入默认港口,城镇对应NPC服务组,大地图ID,对应城镇音乐路径,对应效果及任务ID,对应城镇迁徙动画ID,可见数量,通知数量
townId,townName,maxY,maxX,townDesc,iconId,level,townType,conditionDesc,endX,endY,startX,startY,portGroup,copySelectedId,showForceId,moveTaskId,moveLevel,isSelectCamp,defaultMovePort,movePort1,movePort2,movePort3,serviceGroup,mapid,musicid,effectid,moveEffectId,,
1,燃烧战船,22,60,,,Lv.1~10,1,需要人物等级Lv.1|通关柯托岛副本,16,21,7,18,,1,16,,1,0,,,,,"1,3001",1,2,,,9999,50
2,风车村,22,70,,,Lv.10~25,1,需要人物等级Lv.1|接取“黄昏之海”主线任务,20,19,6,15,7,1,32,32,1,0,7,,,,"2,3001",1,6,2|32,1,9999,50
3,西罗布村,22,70,,,Lv.25~40,1,需要人物等级Lv.1|接取“前往西罗布村”主线任务,20,19,6,16,"8,9,10,11",2,221,13007,1,1,,8,9,10,"3,1004,3001,3002",1,10,3|13007,2,9999,50
4,罗格镇,22,70,,,Lv.40~50,1,需要人物等级Lv.1|接取“前往罗格镇”主线任务,20,20,6,16,"12,13,14,15,16",3,620,16011,1,1,,12,13,14,"4,1004,3001,3002,7002,2001",1,14,4|16011,3,9999,50
15,世界Boss,22,83,,,,,,14,20,7,14,,,,,,,,,,,,,5,,,50,50
20,公会俱乐部,22,42,,,,,,20,20,6,16,,,,,,,,,,,,,31,,,9999,50
5,磁鼓岛,22,70,,,Lv.50~60,1,需要人物等级Lv.1|接取“向伟大航道前进”主线任务,14,20,2,15,"17,18,19,20,21",4,916,19006,1,1,,17,18,19,"5,1004,3001,3002,7002",2,18,5|19006,4,9999,50
6,雨地,22,83,,,Lv.60~70,1,需要人物等级Lv.1|接取“前往雨地”主线任务,14,20,2,17,"22,23,24,25,26",5,1320,23006,1,1,,22,23,24,"6,1004,3001,3002,7002",2,22,6|23006,5,9999,50
7,空岛,22,83,,,Lv.70~80,1,需要人物等级Lv.1|接取“冲向空岛”主线任务,14,20,2,17,"27,28,29,30,31",6,1816,28005,1,1,,27,28,29,"7,1004,3001,3002,2001,7002",2,26,7|28005,6,9999,50
16,世界Boss2,22,66,,,,,,14,20,7,14,,,,,,,,,,,,,3,,,50,50
8,水之都,22,83,,,Lv.80~90,1,需要人物等级Lv.1|接取“回到青海”主线任务,14,20,2,17,"32,33,34,35,36","7,8,9",2324,34001,1,1,,32,33,34,"8,1004,3001,3002,2001,7002,7003",2,30,8|34001,7,9999,50
9,恐怖三帆船,22,83,,,Lv.90~100,1,需要人物等级Lv.1|接取“魔鬼三角洲”主线任务,14,19,2,16,"37,38,39,40,41",10,3825,49001,1,1,,37,38,39,"9,1004,3001,3002,2001,7002,7003",2,40,9|49001,8,9999,50
10,九蛇岛,22,83,,,Lv.100~115,1,需要人物等级Lv.1|接取“初入九蛇岛”主线任务,14,19,2,16,"42,43,44,45,46",12,5629,67001,1,1,,42,43,44,"10,1004,3001,3002,2001,7002,7003",2,26,10|67002,9,9999,50
21,空岛深渊副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
22,水之都上深渊副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,30,,,9999,9999
23,水之都下深渊副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,30,,,9999,9999
24,司法岛上深渊副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,39,,,9999,9999
25,司法岛下深渊副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,39,,,9999,9999
26,恐怖三帆船上深渊副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,40,,,9999,9999
27,恐怖三帆船下深渊副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,40,,,9999,9999
28,磁鼓岛,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,18,,,9999,9999
29,雨地,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,22,,,9999,9999
30,香波地群岛上,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
31,香波地群岛下,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
32,九蛇岛上,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
33,九蛇岛下,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
11,莫比迪克号,22,83,,,Lv.115~150,1,需要人物等级Lv.1|接取“风平浪静”主线任务,14,19,2,16,"47,48,49,50,51",18,8125,92001,1,1,,47,48,49,"11,1004,3001,3002,2001,7002,7003",2,2,11|92001,10,9999,9999
34,推进城上,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
35,推进城中,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
19,莫比迪克狂欢镇,22,83,,,,,,52,19,40,16,,,,,1,0,,,,,"1,3001",,31,,,9999,9999
18,海贼角斗场,22,60,,,,,,36,20,25,13,,,,,,,,,,,,,31,,,9999,9999
12,鱼人岛,22,83,,,Lv.150~180,1,需要人物等级Lv.1|接取“到达鱼人岛”主线任务,14,19,2,16,"52,53,54,55,56",22,10425,114001,1,1,,52,53,54,"12,1004,3001,3002,2001,7002,7003",2,6,12|114001,11,9999,9999
36,推进城下,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
37,顶上战场上,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
38,顶上战场中,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
39,顶上战场下,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
40,试炼岛上,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
41,试炼岛下,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
13,庞克哈萨德岛,22,83,,,Lv.180~210,1,需要人物等级Lv.1|接取“不可思议的岛”主线任务,14,19,2,16,"57,58,59,60,61",27,12727,136001,1,1,,57,58,59,"13,1004,3001,3002,2001,7002,7003",3,20,13|136001,12,9999,9999
14,德雷斯罗萨岛,22,84,,,Lv.210~240,1,需要人物等级Lv.1|接取“爱与热情之国”主线任务,14,19,2,16,"62,63,64,65,66",31,14326,153001,1,1,,62,63,64,"14,1004,3001,3002,2001,7002,7003",3,20,14|153001,13,9999,9999
